provinsi,nama,tipe,mode,isAfirmasi,is3T,jenis_3t
Papua Barat,Kab. Tambrauw Papua Barat,kabupaten,3T,FALSE,TRUE,Terdepan
Papua Barat,Kab. Maybrat Papua Barat,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua Barat,Kab. Manokwari Selatan Papua Barat,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua Barat,Kab. Pegunungan Arfak Papua Barat,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Jayawijaya Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Nabire Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Paniai Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Puncak Jaya Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Boven Digoel Papua,kabupaten,3T,FALSE,TRUE,Terdepan
Papua,Kab. Mappi Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Asmat Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Yahukimo Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Pegunungan Bintang Papua,kabupaten,3T,FALSE,TRUE,Terdepan
Papua,Kab. Tolikara Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Keerom Papua,kabupaten,3T,FALSE,TRUE,Terdepan
Papua,Kab. Waropen Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Supiori Papua,kabupaten,3T,FALSE,TRUE,Terluar
Papua,Kab. Mamberamo Raya Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Nduga Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Lanny Jaya Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Mamberamo Tengah Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Yalimo Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Puncak Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Dogiyai Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Intan Jaya Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
Papua,Kab. Deiyai Papua,kabupaten,3T,FALSE,TRUE,Tertinggal
